series_title,season,episode,rating
Peaky Blinders,1,1,8
Peaky Blinders,1,2,8.2
Peaky Blinders,1,3,8.1
Peaky Blinders,1,4,8.5
Peaky Blinders,1,5,8.8
Peaky Blinders,1,6,9.1
,,,
Peaky Blinders,2,1,8.4
Peaky Blinders,2,2,8.2
Peaky Blinders,2,3,8.5
Peaky Blinders,2,4,8.3
Peaky Blinders,2,5,8.7
Peaky Blinders,2,6,9.5
,,,
Peaky Blinders,3,1,8.1
Peaky Blinders,3,2,8.8
Peaky Blinders,3,3,8.5
Peaky Blinders,3,4,8.6
Peaky Blinders,3,5,8.2
Peaky Blinders,3,6,9.5
,,,
Peaky Blinders,4,1,9.4
Peaky Blinders,4,2,9
Peaky Blinders,4,3,8.4
Peaky Blinders,4,4,8.5
Peaky Blinders,4,5,8.7
Peaky Blinders,4,6,9.4
,,,
Peaky Blinders,5,1,8.2
Peaky Blinders,5,2,8.7
Peaky Blinders,5,3,8.3
Peaky Blinders,5,4,8.7
Peaky Blinders,5,5,8.5
Peaky Blinders,5,6,9.2
,,,
Peaky Blinders,6,1,8.8
Peaky Blinders,6,2,8.2
Peaky Blinders,6,3,8
Peaky Blinders,6,4,8
Peaky Blinders,6,5,8
Peaky Blinders,6,6,9.3